area,sub_area,UNHCR_outcome_area,date_collection,indicator,value,population_group,location,comment,source,publication,data_source,tags,publicly_available_microdata,publicly_available_methodology,publicly_available_questionnaire,methodology_overview,limitations
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2065,% of respondents who hope to return one day to Ukraine,65,refugee,Regional,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2066,% of respondents who hope to return one day to Ukraine,63,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2067,% of respondents who hope to return one day to Ukraine,55,refugee,Germany,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2068,% of respondents who hope to return one day to Ukraine,76,refugee,Poland,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2069,% of respondents who hope to return one day to Ukraine,72,refugee,Moldova,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2070,% of respondents who hope to return one day to Ukraine,81,refugee,Romania,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2071,% of respondents who hope to return one day to Ukraine,70,refugee,Slovakia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2072,% of respondents who are undecided about returning to Ukraine,18,refugee,Regional,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2073,% of respondents who are undecided about returning to Ukraine,21,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2074,% of respondents who are undecided about returning to Ukraine,29,refugee,Germany,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2075,% of respondents who are undecided about returning to Ukraine,10,refugee,Poland,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2076,% of respondents who are undecided about returning to Ukraine,4,refugee,Moldova,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2077,% of respondents who are undecided about returning to Ukraine,5,refugee,Romania,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2078,% of respondents who are undecided about returning to Ukraine,12,refugee,Slovakia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2079,% of respondents who do not hope to return to Ukraine,5,refugee,Regional,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2080,% of respondents who do not hope to return to Ukraine,3,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2081,% of respondents who do not hope to return to Ukraine,6,refugee,Germany,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2082,% of respondents who do not hope to return to Ukraine,4,refugee,Poland,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2083,% of respondents who do not hope to return to Ukraine,3,refugee,Moldova,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2084,% of respondents who do not hope to return to Ukraine,4,refugee,Romania,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2085,% of respondents who do not hope to return to Ukraine,6,refugee,Slovakia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2086,% of respondents who are planning to return to Ukraine in the next 3 months,12,refugee,Regional,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2087,% of respondents who are planning to return to Ukraine in the next 3 months,13,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2088,% of respondents who are planning to return to Ukraine in the next 3 months,10,refugee,Germany,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2089,% of respondents who are planning to return to Ukraine in the next 3 months,11,refugee,Poland,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2090,% of respondents who are planning to return to Ukraine in the next 3 months,20,refugee,Moldova,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2091,% of respondents who are planning to return to Ukraine in the next 3 months,11,refugee,Romania,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2092,% of respondents who are planning to return to Ukraine in the next 3 months,12,refugee,Slovakia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2093,% of respondents who plan to resettle in an oblast different from their place of origin,5,refugee,Regional,,UNHCR,Regional Intentions Survey 3rd Round,Survey,oblast; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2094,% of respondents who plan to resettle in an oblast different from their place of origin,6,refugee,Germany,,UNHCR,Regional Intentions Survey 3rd Round,Survey,oblast; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2095,% of respondents who plan to resettle in an oblast different from their place of origin,5,refugee,Poland,,UNHCR,Regional Intentions Survey 3rd Round,Survey,oblast; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2096,% of respondents who plan to resettle in an oblast different from their place of origin,2,refugee,Moldova,,UNHCR,Regional Intentions Survey 3rd Round,Survey,oblast; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2097,% of respondents who plan to resettle in an oblast different from their place of origin,7,refugee,Romania,,UNHCR,Regional Intentions Survey 3rd Round,Survey,oblast; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2098,% of respondents who plan to resettle in an oblast different from their place of origin,12,refugee,Slovakia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,oblast; return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2099,% of respondents who rated security as hightly important factor in their decision to return to Ukraine,94,refugee,Regional,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; security,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2100,% of respondents who rated security as hightly important factor in their decision to return to Ukraine,96,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; security,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2101,% of respondents who rated security as hightly important factor in their decision to return to Ukraine,91,refugee,Germany,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; security,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2102,% of respondents who rated security as hightly important factor in their decision to return to Ukraine,94,refugee,Poland,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; security,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2103,% of respondents who rated security as hightly important factor in their decision to return to Ukraine,91,refugee,Moldova,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; security,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2104,% of respondents who rated security as hightly important factor in their decision to return to Ukraine,98,refugee,Romania,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; security,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2105,% of respondents who rated security as hightly important factor in their decision to return to Ukraine,95,refugee,Slovakia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; security,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2106,% of respondents who rated basic services in Ukraine as highly important factor  in their decision to return to Ukraine,91,refugee,Regional,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; basic services; livelihoods,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2107,% of respondents who rated basic services in Ukraine as highly important factor  in their decision to return to Ukraine,93,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; basic services; livelihoods,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2108,% of respondents who rated basic services in Ukraine as highly important factor  in their decision to return to Ukraine,94,refugee,Germany,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; basic services; livelihoods,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2109,% of respondents who rated basic services in Ukraine as highly important factor  in their decision to return to Ukraine,88,refugee,Poland,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; basic services; livelihoods,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2110,% of respondents who rated basic services in Ukraine as highly important factor  in their decision to return to Ukraine,84,refugee,Moldova,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; basic services; livelihoods,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2111,% of respondents who rated basic services in Ukraine as highly important factor  in their decision to return to Ukraine,91,refugee,Romania,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; basic services; livelihoods,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2112,% of respondents who rated basic services in Ukraine as highly important factor  in their decision to return to Ukraine,87,refugee,Slovakia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; basic services; livelihoods,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2113,% of respondents who rated basic services and livelihoods in host countries as highly important factor  in their decision to return to Ukraine,69,refugee,Regional,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; basic services; livelihoods,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2114,% of respondents who rated basic services and livelihoods in host countries as highly important factor  in their decision to return to Ukraine,78,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; basic services; livelihoods,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2115,% of respondents who rated basic services and livelihoods in host countries as highly important factor  in their decision to return to Ukraine,73,refugee,Germany,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; basic services; livelihoods,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2116,% of respondents who rated basic services and livelihoods in host countries as highly important factor  in their decision to return to Ukraine,63,refugee,Poland,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; basic services; livelihoods,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2117,% of respondents who rated basic services and livelihoods in host countries as highly important factor  in their decision to return to Ukraine,52,refugee,Moldova,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; basic services; livelihoods,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2118,% of respondents who rated basic services and livelihoods in host countries as highly important factor  in their decision to return to Ukraine,63,refugee,Romania,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; basic services; livelihoods,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2119,% of respondents who rated basic services and livelihoods in host countries as highly important factor  in their decision to return to Ukraine,68,refugee,Slovakia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; basic services; livelihoods,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2120,"% of respondents who indicated ""go back to cultural environment"" as one of the main reason to return to Ukraine.",59,refugee,Regional,Indicator based on multiple responses question.,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; reason to return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2121,"% of respondents who indicated ""go back to cultural environment"" as one of the main reason to return to Ukraine.",83,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; reason to return,yes,yes,yes,,
